ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
329,Maharashtra,Pune,Locality B,Independent House,2,990,92.51,9343.95,2008,Unfurnished,1,14,17,2,3,3,0,Guard,Gym,South,Agent,Under Construction
330,Karnataka,Bangalore,Locality A,Villa,5,544,35.68,6559.0,1999,Unfurnished,9,19,26,9,7,3,1,None,Clubhouse,West,Individual,Ready to Move
331,Maharashtra,Pune,Locality A,Independent House,1,1911,78.75,4120.83,1994,Semi-Furnished,15,6,31,3,9,4,2,Gated,Gym,West,Builder,Ready to Move
332,Karnataka,Bangalore,Locality A,Villa,1,1618,150.13,9278.51,2002,Unfurnished,7,6,23,9,5,3,0,CCTV,None,West,Agent,Ready to Move
333,Tamil Nadu,Chennai,Locality A,Apartment,2,3777,328.27,8691.35,2009,Semi-Furnished,13,11,16,7,9,3,2,None,Pool,East,Builder,Ready to Move
334,Karnataka,Bangalore,Locality C,Villa,3,1093,86.03,7871.31,2008,Unfurnished,4,19,17,5,3,2,1,Gated,None,East,Agent,Ready to Move
335,Maharashtra,Nagpur,Locality B,Independent House,4,3417,213.91,6260.06,2005,Semi-Furnished,16,24,20,3,1,1,2,Guard,Pool,North,Agent,Ready to Move
336,Tamil Nadu,Chennai,Locality B,Apartment,2,3726,319.99,8587.91,2007,Semi-Furnished,17,18,18,9,6,4,2,None,Clubhouse,South,Agent,Ready to Move
337,Karnataka,Mysore,Locality C,Villa,3,1398,128.18,9168.51,2019,Fully-Furnished,7,13,6,3,5,2,2,Gated,Gym,North,Agent,Under Construction
338,Telangana,Hyderabad,Locality B,Independent House,3,3606,282.35,7830.1,1990,Fully-Furnished,9,15,35,8,7,3,2,CCTV,Gym,North,Builder,Ready to Move
339,Telangana,Hyderabad,Locality C,Villa,1,2712,158.58,5847.24,1994,Fully-Furnished,14,20,31,1,3,4,2,Gated,Gym,East,Agent,Ready to Move
340,Telangana,Hyderabad,Locality B,Independent House,4,1547,72.33,4675.54,2004,Fully-Furnished,18,8,21,2,6,2,2,Guard,None,East,Agent,Under Construction
341,Tamil Nadu,Chennai,Locality B,Independent House,5,1483,71.71,4835.52,1990,Semi-Furnished,2,22,35,4,1,1,1,CCTV,Clubhouse,North,Agent,Ready to Move
342,Tamil Nadu,Chennai,Locality A,Apartment,3,1049,57.69,5499.84,2014,Unfurnished,3,9,11,1,5,2,1,None,Pool,South,Individual,Ready to Move
343,Maharashtra,Pune,Locality C,Apartment,2,3050,292.34,9584.94,1995,Unfurnished,5,24,30,7,2,2,0,None,None,East,Individual,Ready to Move
344,Maharashtra,Mumbai,Locality B,Independent House,1,1949,90.29,4632.43,2011,Unfurnished,6,18,14,4,6,4,1,Gated,Pool,East,Individual,Ready to Move
345,Maharashtra,Mumbai,Locality B,Independent House,4,715,50.58,7074.36,1995,Semi-Furnished,10,21,30,2,1,4,1,Gated,None,South,Builder,Ready to Move
346,Maharashtra,Mumbai,Locality B,Villa,5,670,47.26,7053.36,2019,Fully-Furnished,7,22,6,2,7,2,1,CCTV,Clubhouse,West,Builder,Under Construction
347,Karnataka,Bangalore,Locality C,Independent House,1,1591,145.5,9145.18,2001,Semi-Furnished,6,12,24,5,9,3,1,Gated,Pool,North,Individual,Under Construction
348,Delhi,New Delhi,Locality A,Independent House,1,1481,85.13,5748.17,2009,Unfurnished,10,6,16,3,6,3,1,Gated,Clubhouse,South,Builder,Ready to Move
349,Karnataka,Bangalore,Locality B,Independent House,1,1817,164.73,9065.89,2008,Semi-Furnished,1,24,17,8,6,3,0,Gated,Gym,South,Individual,Ready to Move
350,Delhi,New Delhi,Locality B,Independent House,3,1396,117.64,8427.28,2005,Unfurnished,7,16,20,6,8,2,0,Gated,Clubhouse,West,Agent,Under Construction
351,Tamil Nadu,Coimbatore,Locality B,Apartment,3,1729,141.88,8205.61,2001,Unfurnished,15,10,24,2,1,1,1,Guard,Pool,South,Individual,Ready to Move
352,Karnataka,Bangalore,Locality A,Apartment,4,890,87.38,9817.7,2016,Semi-Furnished,1,20,9,1,4,1,0,Guard,Pool,East,Builder,Ready to Move
353,Karnataka,Bangalore,Locality C,Villa,3,2626,135.29,5152.1,2012,Fully-Furnished,18,15,13,2,1,1,2,Guard,Gym,North,Individual,Under Construction
354,Telangana,Hyderabad,Locality B,Independent House,2,2259,110.49,4891.04,2006,Fully-Furnished,15,14,19,2,4,1,0,Guard,None,West,Individual,Under Construction
355,Delhi,New Delhi,Locality C,Apartment,1,783,40.39,5158.96,1996,Fully-Furnished,1,15,29,2,2,3,0,CCTV,Gym,North,Agent,Ready to Move
356,Maharashtra,Mumbai,Locality B,Apartment,1,843,38.26,4538.56,2021,Unfurnished,17,22,4,5,9,2,0,None,Pool,West,Builder,Ready to Move
357,Tamil Nadu,Chennai,Locality A,Villa,5,1194,87.45,7323.96,2009,Unfurnished,9,18,16,1,2,2,0,Gated,Gym,East,Builder,Ready to Move
358,Telangana,Hyderabad,Locality A,Villa,3,3947,170.79,4327.07,2015,Semi-Furnished,14,21,10,5,7,3,1,CCTV,None,North,Agent,Under Construction
359,Maharashtra,Pune,Locality A,Independent House,1,1286,74.53,5795.39,1992,Semi-Furnished,3,12,33,1,8,3,2,None,None,North,Builder,Ready to Move
360,Telangana,Hyderabad,Locality B,Apartment,5,3459,292.94,8468.95,1999,Fully-Furnished,6,20,26,1,1,1,1,None,None,East,Individual,Under Construction
361,Delhi,New Delhi,Locality C,Apartment,2,3213,243.5,7578.6,2009,Semi-Furnished,11,6,16,1,9,1,2,CCTV,None,South,Individual,Under Construction
362,Karnataka,Mysore,Locality A,Independent House,5,2452,189.04,7709.74,1991,Fully-Furnished,13,21,34,2,5,4,1,CCTV,None,West,Builder,Under Construction
363,Telangana,Hyderabad,Locality B,Apartment,3,2222,154.52,6954.17,2003,Semi-Furnished,6,17,22,8,2,4,2,None,None,South,Builder,Under Construction
364,Telangana,Hyderabad,Locality A,Independent House,5,622,39.57,6361.81,2009,Unfurnished,16,11,16,7,3,2,2,Guard,Gym,East,Agent,Under Construction
365,Delhi,New Delhi,Locality B,Apartment,5,877,72.26,8239.62,1992,Semi-Furnished,8,15,33,5,9,3,0,CCTV,None,South,Individual,Ready to Move
366,Karnataka,Mysore,Locality C,Villa,4,2329,106.12,4556.29,2006,Fully-Furnished,19,5,19,2,9,2,0,None,Clubhouse,West,Builder,Ready to Move
367,Karnataka,Mysore,Locality B,Villa,1,1608,157.89,9818.91,2001,Semi-Furnished,8,23,24,5,3,2,0,Guard,Clubhouse,North,Agent,Under Construction
368,Maharashtra,Pune,Locality B,Apartment,2,3067,184.22,6006.66,2010,Semi-Furnished,16,22,15,5,4,2,0,Gated,Pool,North,Builder,Under Construction
369,Telangana,Hyderabad,Locality C,Villa,1,2763,164.88,5967.3,2011,Semi-Furnished,6,21,14,6,6,2,1,Guard,Pool,South,Agent,Under Construction
370,Tamil Nadu,Coimbatore,Locality B,Independent House,5,569,32.37,5688.1,2007,Semi-Furnished,14,24,18,7,8,1,0,CCTV,None,South,Builder,Ready to Move
371,Delhi,New Delhi,Locality A,Apartment,2,3338,214.09,6413.84,2020,Semi-Furnished,18,19,5,8,7,1,2,Gated,Gym,South,Agent,Ready to Move
372,Karnataka,Bangalore,Locality B,Independent House,2,2281,136.74,5994.56,2019,Unfurnished,11,6,6,8,8,1,0,CCTV,Pool,West,Individual,Ready to Move
373,Tamil Nadu,Coimbatore,Locality C,Independent House,4,2124,193.05,9089.09,2008,Semi-Furnished,16,5,17,2,5,2,1,None,None,South,Individual,Ready to Move
374,Karnataka,Bangalore,Locality C,Villa,5,2659,132.62,4987.6,1992,Semi-Furnished,12,6,33,6,3,1,1,Guard,None,West,Builder,Ready to Move
375,Tamil Nadu,Coimbatore,Locality B,Apartment,2,3519,142.99,4063.31,2005,Fully-Furnished,5,17,20,7,8,4,2,Gated,Clubhouse,South,Individual,Ready to Move
376,Tamil Nadu,Coimbatore,Locality C,Independent House,2,1701,116.65,6857.93,2021,Unfurnished,6,5,4,7,8,4,2,None,Clubhouse,West,Builder,Ready to Move
377,Tamil Nadu,Chennai,Locality C,Villa,5,1744,118.79,6811.34,2002,Unfurnished,4,12,23,1,7,4,2,None,Clubhouse,North,Builder,Ready to Move
378,Telangana,Hyderabad,Locality B,Independent House,5,2125,123.48,5810.86,1994,Unfurnished,2,18,31,1,9,4,1,CCTV,Gym,East,Builder,Ready to Move
379,Karnataka,Mysore,Locality C,Villa,2,3646,239.61,6571.87,1997,Fully-Furnished,15,10,28,5,1,3,0,Guard,Gym,North,Agent,Under Construction
380,Delhi,New Delhi,Locality B,Apartment,4,3069,298.53,9727.32,2014,Fully-Furnished,9,22,11,2,8,4,2,Guard,Clubhouse,South,Agent,Ready to Move
381,Karnataka,Bangalore,Locality A,Independent House,4,2497,173.18,6935.36,2023,Semi-Furnished,17,20,2,2,4,1,1,Guard,Clubhouse,West,Agent,Under Construction
382,Karnataka,Mysore,Locality C,Villa,1,3661,220.89,6033.67,1998,Unfurnished,8,19,27,7,6,4,2,Guard,Clubhouse,West,Agent,Ready to Move
383,Karnataka,Bangalore,Locality C,Villa,4,1188,73.16,6158.32,2019,Unfurnished,18,22,6,9,4,4,1,Guard,None,North,Agent,Ready to Move
384,Telangana,Hyderabad,Locality A,Independent House,2,3615,323.86,8958.79,2012,Unfurnished,18,9,13,5,4,3,0,Gated,Clubhouse,South,Individual,Under Construction
385,Telangana,Hyderabad,Locality B,Villa,4,1367,118.66,8680.29,1993,Unfurnished,10,14,32,7,9,4,2,Gated,Gym,East,Individual,Under Construction
386,Karnataka,Mysore,Locality C,Villa,3,1881,186.26,9902.27,1990,Unfurnished,17,13,35,3,5,4,0,Gated,Gym,South,Individual,Under Construction
387,Telangana,Hyderabad,Locality A,Villa,3,3867,160.97,4162.64,2002,Unfurnished,11,21,23,4,2,1,1,None,Pool,West,Builder,Ready to Move
388,Maharashtra,Mumbai,Locality B,Apartment,2,1594,110.38,6924.44,2009,Unfurnished,18,19,16,8,7,4,1,CCTV,Gym,North,Agent,Under Construction
389,Maharashtra,Mumbai,Locality C,Apartment,3,2784,248.43,8923.55,1992,Semi-Furnished,13,24,33,3,9,4,0,None,None,North,Builder,Ready to Move
390,Delhi,New Delhi,Locality C,Independent House,5,872,53.05,6083.15,1991,Semi-Furnished,10,14,34,9,1,1,2,Guard,None,North,Individual,Ready to Move
391,Karnataka,Bangalore,Locality C,Apartment,4,1073,91.12,8492.19,1996,Semi-Furnished,5,16,29,5,7,2,0,None,None,North,Individual,Under Construction
392,Delhi,New Delhi,Locality B,Independent House,5,2187,155.08,7091.0,2007,Fully-Furnished,17,5,18,9,3,4,0,Guard,None,West,Individual,Ready to Move
393,Telangana,Hyderabad,Locality A,Apartment,4,1419,124.36,8764.09,2001,Unfurnished,1,14,24,6,3,1,0,Guard,Clubhouse,East,Builder,Ready to Move
394,Telangana,Hyderabad,Locality B,Independent House,2,3401,308.43,9068.79,2018,Semi-Furnished,2,11,7,2,7,1,1,None,Pool,West,Builder,Ready to Move
395,Maharashtra,Nagpur,Locality B,Independent House,3,3260,317.81,9748.83,2009,Semi-Furnished,16,24,16,5,4,3,0,Gated,Pool,East,Agent,Under Construction
396,Maharashtra,Mumbai,Locality B,Villa,1,1658,71.09,4287.48,2001,Semi-Furnished,15,16,24,5,2,2,2,CCTV,Gym,West,Agent,Under Construction
397,Maharashtra,Nagpur,Locality B,Apartment,4,2534,159.27,6285.34,1995,Semi-Furnished,19,6,30,7,7,2,1,None,Clubhouse,South,Builder,Under Construction
398,Tamil Nadu,Coimbatore,Locality A,Independent House,3,1939,186.67,9626.95,2001,Unfurnished,2,8,24,6,3,3,0,CCTV,Clubhouse,West,Individual,Under Construction
399,Delhi,New Delhi,Locality C,Independent House,2,824,33.33,4044.35,1993,Unfurnished,5,12,32,3,5,4,2,None,Pool,East,Agent,Under Construction
400,Telangana,Hyderabad,Locality B,Apartment,5,972,88.94,9149.94,2006,Unfurnished,2,24,19,6,1,4,0,None,Clubhouse,East,Builder,Under Construction
401,Delhi,New Delhi,Locality A,Apartment,3,2986,172.1,5763.5,2002,Unfurnished,12,17,23,8,5,4,0,None,Pool,North,Individual,Under Construction
402,Tamil Nadu,Chennai,Locality B,Independent House,5,758,53.89,7109.68,1999,Fully-Furnished,11,17,26,7,5,4,1,Guard,Gym,South,Builder,Ready to Move
403,Telangana,Hyderabad,Locality C,Villa,2,2988,165.79,5548.65,2006,Unfurnished,14,10,19,9,7,3,0,CCTV,Pool,West,Builder,Under Construction
404,Maharashtra,Nagpur,Locality B,Independent House,1,2287,205.97,9005.95,2022,Unfurnished,7,22,3,5,1,4,1,CCTV,Pool,North,Individual,Under Construction
405,Delhi,New Delhi,Locality B,Independent House,2,978,54.68,5590.68,2005,Semi-Furnished,2,17,20,2,7,1,1,Gated,None,East,Individual,Ready to Move
406,Telangana,Hyderabad,Locality B,Apartment,5,2728,230.62,8453.79,1994,Fully-Furnished,16,23,31,7,5,3,2,Gated,None,North,Builder,Ready to Move
407,Karnataka,Bangalore,Locality B,Independent House,4,3610,244.9,6784.0,2022,Fully-Furnished,1,11,3,8,4,3,1,Guard,Pool,South,Builder,Ready to Move
408,Telangana,Hyderabad,Locality A,Apartment,2,1634,151.57,9275.95,2017,Fully-Furnished,6,24,8,3,3,3,2,Guard,Clubhouse,East,Builder,Under Construction
409,Telangana,Hyderabad,Locality B,Villa,2,3507,151.87,4330.61,2020,Unfurnished,17,19,5,2,2,4,1,CCTV,None,North,Agent,Under Construction
410,Tamil Nadu,Coimbatore,Locality A,Apartment,5,2765,234.95,8497.27,2004,Fully-Furnished,15,17,21,6,8,1,2,None,None,East,Agent,Ready to Move
411,Karnataka,Mysore,Locality A,Independent House,2,2702,147.74,5467.93,1997,Semi-Furnished,8,23,28,6,9,3,0,CCTV,Clubhouse,North,Builder,Under Construction
412,Karnataka,Bangalore,Locality C,Apartment,1,1104,50.21,4548.12,2011,Unfurnished,16,10,14,6,4,4,2,None,None,South,Agent,Under Construction
413,Tamil Nadu,Chennai,Locality A,Apartment,1,1596,120.95,7578.08,2017,Semi-Furnished,7,14,8,8,3,1,2,None,Gym,East,Builder,Under Construction
414,Karnataka,Bangalore,Locality A,Villa,5,3644,281.26,7718.49,1992,Semi-Furnished,2,22,33,7,4,1,1,Guard,Pool,West,Builder,Ready to Move
415,Telangana,Hyderabad,Locality C,Independent House,4,3674,288.14,7842.68,2019,Semi-Furnished,11,16,6,1,1,1,0,Gated,Pool,North,Individual,Under Construction
416,Karnataka,Bangalore,Locality A,Villa,4,2059,109.82,5333.7,2004,Fully-Furnished,1,19,21,8,1,3,2,CCTV,Clubhouse,West,Agent,Ready to Move
417,Delhi,New Delhi,Locality C,Independent House,2,2944,118.17,4013.94,2012,Fully-Furnished,12,11,13,2,7,1,2,Gated,Pool,North,Individual,Under Construction
418,Karnataka,Bangalore,Locality A,Independent House,4,2418,175.89,7274.01,2017,Semi-Furnished,4,20,8,5,4,4,0,CCTV,Clubhouse,North,Individual,Under Construction
419,Delhi,New Delhi,Locality B,Villa,5,1118,57.95,5183.1,1993,Unfurnished,18,6,32,5,4,4,0,Gated,None,West,Agent,Ready to Move
420,Tamil Nadu,Coimbatore,Locality A,Villa,5,1101,72.51,6585.9,2003,Semi-Furnished,14,5,22,3,9,3,0,Guard,Pool,East,Builder,Ready to Move
421,Delhi,New Delhi,Locality C,Villa,2,2503,116.19,4642.17,2005,Fully-Furnished,12,7,20,3,5,2,0,Gated,Gym,South,Builder,Under Construction
422,Karnataka,Bangalore,Locality B,Apartment,5,2372,219.37,9248.46,2007,Unfurnished,18,18,18,9,1,1,0,Gated,Clubhouse,South,Builder,Ready to Move
423,Tamil Nadu,Coimbatore,Locality C,Villa,2,2629,128.21,4876.58,2007,Unfurnished,6,17,18,7,3,3,1,None,Clubhouse,South,Individual,Under Construction
424,Telangana,Hyderabad,Locality A,Villa,4,1019,87.84,8620.13,2020,Unfurnished,3,22,5,5,6,1,0,None,Gym,East,Builder,Ready to Move
425,Tamil Nadu,Coimbatore,Locality C,Independent House,2,1404,89.81,6396.59,2002,Fully-Furnished,9,6,23,3,4,1,2,Gated,Pool,North,Agent,Under Construction
426,Karnataka,Mysore,Locality C,Villa,5,1477,133.78,9057.67,2019,Semi-Furnished,3,17,6,8,9,2,2,Guard,Pool,North,Builder,Under Construction
427,Tamil Nadu,Coimbatore,Locality B,Villa,4,1310,99.2,7572.49,2000,Semi-Furnished,4,12,25,1,4,2,2,None,Pool,West,Builder,Ready to Move
428,Delhi,New Delhi,Locality A,Independent House,2,2513,152.58,6071.59,1998,Unfurnished,11,19,27,8,2,1,2,None,None,East,Agent,Ready to Move
429,Karnataka,Bangalore,Locality C,Apartment,3,1201,85.37,7108.09,2008,Fully-Furnished,16,11,17,7,9,1,0,CCTV,None,West,Individual,Under Construction
430,Telangana,Hyderabad,Locality C,Independent House,5,2408,179.86,7469.31,2002,Unfurnished,11,22,23,5,6,3,0,CCTV,Gym,South,Builder,Under Construction
431,Tamil Nadu,Chennai,Locality B,Villa,2,3476,231.12,6649.02,1995,Semi-Furnished,18,13,30,1,6,2,1,None,None,South,Individual,Ready to Move
432,Tamil Nadu,Coimbatore,Locality B,Apartment,2,2617,188.38,7198.33,2012,Unfurnished,9,14,13,3,6,3,2,Gated,Clubhouse,East,Individual,Ready to Move
433,Telangana,Hyderabad,Locality B,Independent House,1,1397,133.55,9559.51,1992,Semi-Furnished,16,21,33,3,2,3,2,Guard,Clubhouse,South,Agent,Ready to Move
434,Telangana,Hyderabad,Locality C,Apartment,5,1983,194.07,9786.93,1990,Semi-Furnished,12,17,35,9,4,1,2,Gated,Pool,North,Individual,Under Construction
435,Delhi,New Delhi,Locality A,Independent House,4,1929,192.44,9975.96,2020,Semi-Furnished,17,23,5,3,6,3,1,CCTV,None,East,Builder,Under Construction
436,Delhi,New Delhi,Locality B,Villa,2,3803,375.8,9881.57,1992,Unfurnished,6,5,33,9,1,1,1,Gated,Clubhouse,South,Agent,Under Construction
437,Telangana,Hyderabad,Locality B,Villa,4,855,80.24,9385.19,2001,Semi-Furnished,5,13,24,8,4,3,2,Gated,Clubhouse,North,Agent,Ready to Move
438,Maharashtra,Pune,Locality C,Apartment,1,3275,184.75,5641.25,2020,Semi-Furnished,8,13,5,5,3,4,2,Guard,Clubhouse,South,Agent,Ready to Move
439,Tamil Nadu,Coimbatore,Locality A,Villa,4,1912,138.66,7252.09,2014,Semi-Furnished,9,7,11,4,6,4,1,Gated,Gym,East,Individual,Ready to Move
440,Delhi,New Delhi,Locality C,Villa,1,1420,138.79,9774.03,2002,Fully-Furnished,5,12,23,5,2,2,0,CCTV,Gym,West,Builder,Under Construction
441,Telangana,Hyderabad,Locality C,Apartment,2,2563,142.61,5564.05,2021,Semi-Furnished,18,17,4,7,9,2,1,None,Clubhouse,West,Builder,Ready to Move
442,Telangana,Hyderabad,Locality B,Apartment,5,3378,182.89,5414.1,2007,Fully-Furnished,16,7,18,9,8,2,2,None,Pool,South,Individual,Ready to Move
443,Tamil Nadu,Coimbatore,Locality B,Apartment,1,1602,71.67,4473.58,2006,Semi-Furnished,19,11,19,5,1,3,1,None,Gym,South,Agent,Under Construction
444,Maharashtra,Nagpur,Locality C,Apartment,1,2053,123.18,5999.8,2016,Semi-Furnished,4,14,9,6,1,3,1,CCTV,None,North,Agent,Ready to Move
445,Karnataka,Bangalore,Locality A,Apartment,1,2288,96.35,4210.96,2001,Semi-Furnished,11,8,24,3,8,2,2,None,Gym,West,Individual,Under Construction
446,Delhi,New Delhi,Locality C,Apartment,1,2951,154.51,5235.93,2009,Fully-Furnished,1,9,16,5,6,3,1,CCTV,Gym,South,Agent,Ready to Move
447,Tamil Nadu,Coimbatore,Locality C,Villa,2,1644,152.01,9246.39,2013,Fully-Furnished,18,18,12,8,1,2,0,CCTV,Gym,South,Individual,Under Construction
448,Delhi,New Delhi,Locality C,Independent House,4,819,68.57,8371.82,2017,Fully-Furnished,17,20,8,6,3,2,2,Guard,None,South,Agent,Ready to Move
449,Telangana,Hyderabad,Locality B,Villa,3,914,57.18,6255.83,2004,Fully-Furnished,19,15,21,2,2,4,1,None,None,South,Agent,Under Construction
450,Tamil Nadu,Chennai,Locality C,Independent House,2,3800,190.33,5008.71,1998,Fully-Furnished,7,18,27,2,6,2,2,None,None,East,Agent,Ready to Move
451,Tamil Nadu,Coimbatore,Locality C,Apartment,3,3742,299.13,7993.9,2021,Unfurnished,4,18,4,5,4,4,1,None,Gym,North,Agent,Ready to Move
452,Tamil Nadu,Chennai,Locality B,Villa,1,2181,147.43,6759.89,2020,Semi-Furnished,3,16,5,1,1,3,1,None,None,North,Builder,Under Construction
453,Tamil Nadu,Chennai,Locality C,Villa,4,2003,126.93,6337.1,2013,Unfurnished,6,6,12,1,6,3,1,None,Clubhouse,East,Agent,Under Construction
454,Maharashtra,Pune,Locality C,Villa,4,1055,55.45,5255.84,2010,Semi-Furnished,3,24,15,8,7,3,1,Gated,Pool,West,Agent,Under Construction
455,Karnataka,Mysore,Locality A,Apartment,2,2827,263.83,9332.51,2016,Semi-Furnished,8,11,9,5,8,4,0,Guard,Clubhouse,South,Individual,Ready to Move
456,Karnataka,Bangalore,Locality B,Apartment,4,3186,282.16,8856.22,1993,Fully-Furnished,6,9,32,7,5,2,1,Guard,None,East,Agent,Under Construction
457,Karnataka,Mysore,Locality C,Villa,4,2118,167.41,7904.35,2012,Semi-Furnished,10,23,13,3,7,3,0,CCTV,Gym,West,Agent,Under Construction
458,Maharashtra,Mumbai,Locality B,Independent House,1,733,60.99,8320.67,2004,Fully-Furnished,19,19,21,9,3,3,2,CCTV,Gym,West,Builder,Ready to Move
459,Delhi,New Delhi,Locality B,Villa,1,2392,161.99,6772.24,2018,Unfurnished,15,6,7,2,6,2,2,Gated,Gym,South,Builder,Under Construction
460,Tamil Nadu,Coimbatore,Locality C,Apartment,1,2991,271.05,9062.08,2016,Semi-Furnished,8,9,9,8,3,4,0,Gated,Pool,West,Individual,Under Construction
461,Karnataka,Bangalore,Locality B,Independent House,3,2923,286.06,9786.59,2014,Semi-Furnished,2,18,11,5,6,4,2,CCTV,Clubhouse,West,Agent,Ready to Move
462,Delhi,New Delhi,Locality A,Apartment,5,1060,66.33,6257.14,2004,Fully-Furnished,14,24,21,8,2,4,2,CCTV,None,North,Individual,Ready to Move
463,Telangana,Hyderabad,Locality A,Apartment,5,3684,271.57,7371.69,1995,Unfurnished,15,18,30,5,5,2,2,None,Pool,North,Individual,Ready to Move
464,Delhi,New Delhi,Locality B,Independent House,4,1406,129.76,9228.93,2000,Unfurnished,14,11,25,1,1,1,1,None,None,North,Builder,Under Construction
465,Tamil Nadu,Coimbatore,Locality B,Apartment,3,1279,100.68,7871.43,2005,Fully-Furnished,1,11,20,6,7,4,2,None,Clubhouse,West,Agent,Ready to Move
466,Karnataka,Mysore,Locality C,Apartment,2,739,53.53,7243.32,2002,Unfurnished,2,17,23,9,2,1,2,Guard,Gym,South,Agent,Ready to Move
467,Maharashtra,Pune,Locality C,Apartment,5,1663,100.28,6030.21,2010,Semi-Furnished,11,9,15,8,9,1,0,Gated,None,East,Individual,Ready to Move
468,Delhi,New Delhi,Locality A,Independent House,3,2594,258.13,9950.99,2011,Unfurnished,14,21,14,7,5,3,1,CCTV,None,West,Builder,Under Construction
469,Delhi,New Delhi,Locality C,Villa,4,3299,301.58,9141.7,2005,Semi-Furnished,9,8,20,1,2,4,0,CCTV,Clubhouse,West,Agent,Ready to Move
470,Maharashtra,Nagpur,Locality B,Independent House,4,3235,279.81,8649.57,2021,Fully-Furnished,2,10,4,7,2,3,1,None,Pool,North,Builder,Ready to Move
471,Karnataka,Mysore,Locality A,Villa,1,1915,107.43,5609.72,1999,Fully-Furnished,5,13,26,4,6,3,0,CCTV,Clubhouse,North,Builder,Under Construction
472,Delhi,New Delhi,Locality A,Independent House,3,3335,173.06,5189.24,2000,Fully-Furnished,12,6,25,5,2,2,1,CCTV,Clubhouse,South,Individual,Under Construction
473,Maharashtra,Mumbai,Locality C,Villa,3,2166,91.98,4246.49,2019,Fully-Furnished,18,17,6,2,1,4,0,None,Clubhouse,East,Builder,Ready to Move
474,Maharashtra,Nagpur,Locality A,Villa,2,2506,167.76,6694.5,2023,Unfurnished,8,23,2,6,9,2,0,Guard,Pool,North,Agent,Under Construction
475,Delhi,New Delhi,Locality B,Independent House,2,2850,198.2,6954.41,2001,Semi-Furnished,1,21,24,7,1,1,0,None,Gym,North,Agent,Ready to Move
476,Karnataka,Bangalore,Locality A,Independent House,1,3152,312.06,9900.32,1993,Fully-Furnished,10,9,32,8,9,4,0,Guard,None,West,Individual,Under Construction
477,Karnataka,Bangalore,Locality C,Apartment,5,3536,299.97,8483.42,2023,Semi-Furnished,16,11,2,7,9,3,2,Gated,Gym,North,Individual,Under Construction
478,Telangana,Hyderabad,Locality A,Independent House,5,1466,134.14,9150.22,2015,Fully-Furnished,6,15,10,9,8,2,2,Gated,Clubhouse,East,Builder,Ready to Move
479,Telangana,Hyderabad,Locality A,Independent House,1,2221,163.33,7353.72,2022,Semi-Furnished,18,14,3,7,9,1,2,None,Clubhouse,North,Individual,Ready to Move
480,Tamil Nadu,Coimbatore,Locality B,Apartment,3,1575,134.92,8566.04,2018,Unfurnished,2,9,7,1,7,2,0,None,None,South,Individual,Ready to Move
481,Tamil Nadu,Chennai,Locality B,Villa,2,3148,232.09,7372.67,2006,Unfurnished,8,7,19,4,1,2,0,Gated,Clubhouse,North,Builder,Ready to Move
482,Telangana,Hyderabad,Locality C,Apartment,2,3773,249.99,6625.88,2015,Semi-Furnished,3,19,10,1,1,1,0,Guard,Clubhouse,North,Builder,Ready to Move
483,Telangana,Hyderabad,Locality C,Independent House,4,1679,159.92,9524.54,2010,Unfurnished,2,14,15,1,8,1,0,CCTV,Clubhouse,West,Builder,Under Construction
484,Telangana,Hyderabad,Locality B,Apartment,3,3102,266.29,8584.57,1995,Unfurnished,15,12,30,5,6,1,1,Guard,None,West,Builder,Ready to Move
485,Delhi,New Delhi,Locality B,Independent House,1,1629,145.15,8910.16,2001,Fully-Furnished,11,8,24,4,6,3,1,None,Clubhouse,North,Individual,Under Construction
486,Maharashtra,Pune,Locality C,Independent House,1,683,64.48,9441.2,1991,Fully-Furnished,6,7,34,7,9,2,1,None,Clubhouse,East,Agent,Ready to Move
487,Telangana,Hyderabad,Locality B,Villa,2,1103,56.66,5137.33,1996,Unfurnished,2,12,29,9,2,2,2,None,Pool,East,Builder,Ready to Move
488,Karnataka,Bangalore,Locality C,Apartment,1,3966,294.82,7433.7,2010,Fully-Furnished,12,24,15,1,3,2,0,CCTV,Gym,South,Builder,Ready to Move
489,Telangana,Hyderabad,Locality B,Villa,4,523,25.05,4790.26,2015,Unfurnished,17,15,10,8,8,2,1,Guard,Clubhouse,East,Individual,Ready to Move
490,Maharashtra,Pune,Locality B,Villa,2,2089,127.64,6110.26,2003,Semi-Furnished,19,5,22,3,4,2,2,None,Gym,South,Builder,Under Construction
491,Maharashtra,Pune,Locality A,Independent House,4,875,46.93,5363.25,1990,Unfurnished,4,13,35,6,2,2,0,Gated,None,South,Builder,Under Construction
492,Karnataka,Bangalore,Locality A,Independent House,1,3738,184.05,4923.78,1990,Fully-Furnished,5,21,35,7,5,4,2,None,Pool,South,Builder,Under Construction
493,Tamil Nadu,Chennai,Locality A,Apartment,2,3220,284.76,8843.57,1999,Unfurnished,18,6,26,4,2,3,0,None,Gym,South,Agent,Ready to Move
